Проект,Категории,Цена,Заявки
Узнать местоположение пользователя,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,7 заявок
Ведение групп в соц.сетях,"<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",$50,16 заявок
Оргaнизaционнaя оптимизaция подготовительных рaбoт при стрoительстве,"<a class=""text-muted"" href=""/jobs/?category_id=47"">Дипломы/Курсовые/Рефераты</a>",None,2 заявки
"Рерайтеры статей на тему ""Дача и сад"", ""Красота""","<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,38 заявок
Создание интернет-магазина в vk / SMM,"<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",None,6 заявок
"Статьи на тему маникюр, педикюр","<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,7 заявок
Добработать сайт (Modx),"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,2 заявки
Требуется веб-разработчик на проект,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,7 заявок
Оттестить приложение на андроид,"<a class=""text-muted"" href=""/jobs/?category_id=28"">ПО для мобильных устройств</a>",None,2 заявки
Создание Технического задания на разработку приложения.,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",$100,6 заявок
Перенос сайта с Drupal 6 на Drupal 7-8,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,3 заявки
OAuth/OAuth2 вход/регистрация на сайт wordpress,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$350,7 заявок
Makewear,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,4 заявки
Добавить кнопки Play/Stop на .swf видео для сайта,"<a class=""text-muted"" href=""/jobs/?category_id=24"">Системное программирование</a>",$10,2 заявки
Верстка лендинга,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",$30,52 заявки
Доска объявлений,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,10 заявок
Нужно помочь с автоматизацией в интернете,"<a class=""text-muted"" href=""/jobs/?category_id=56"">Служба поддержки</a>",$7,8 заявок
Статьи для сайта автозапчастей,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,40 заявок
Дизайн интерфейса игры про Шарики,"<a class=""text-muted"" href=""/jobs/?category_id=13"">Интерфейсы игр и программ</a>",None,6 заявок
Требуется работник службы поддержки сайта / саппорт (английский язык),"<a class=""text-muted"" href=""/jobs/?category_id=56"">Служба поддержки</a>",None,6 заявок
Нарисовать логотип,"<a class=""text-muted"" href=""/jobs/?category_id=7"">Знаки/Логотипы</a>",$10,21 заявка
Редизайн логотипа,"<a class=""text-muted"" href=""/jobs/?category_id=7"">Знаки/Логотипы</a>",None,33 заявки
Load тестирование php системы,"<a class=""text-muted"" href=""/jobs/?category_id=37"">Тестирование сайтов</a>",None,4 заявки
Надо спарсить полностью сайт,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,13 заявок
Лендинг+SEO,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,6 заявок
Нужны статьи на туристическую тему,"<a class=""text-muted"" href=""/jobs/?category_id=45"">Новости/Статьи/Обзоры</a>",None,13 заявок
Выполнить несколько задач на wordpress,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",$50,11 заявок
Картинки в слайдер популярных категорий на игровом сайте,"<a class=""text-muted"" href=""/jobs/?category_id=14"">Пиксел-арт/Иконки</a>",$50,9 заявок
Найти видео-ролик и сделать к нему уникальное описание(для девушек),"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,None
Требуется рерайтинг текста,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,9 заявок
Наполнение интернет магазина сантехники,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",None,47 заявок
Тексты для сайта. Тема – технологии укладки паркета,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,8 заявок
Провести конкурс в Instagram,"<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",None,4 заявки
Рерайт большого объема текстов,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,8 заявок
Помощь нужна в установке удаленно рабочей программы 1с УТ 11,"<a class=""text-muted"" href=""/jobs/?category_id=23"">Прикладное ПО</a>",None,3 заявки
Иконки для строительной фирмы,"<a class=""text-muted"" href=""/jobs/?category_id=14"">Пиксел-арт/Иконки</a>",None,9 заявок
